"행정구역별(읍면동)",2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018
"행정구역별(읍면동)",총가구_가구 (가구),총가구_가구원_계 (명),총가구_가구원_남자 (명),총가구_가구원_여자 (명),총가구_가구 (가구),총가구_가구원_계 (명),총가구_가구원_남자 (명),총가구_가구원_여자 (명),총가구_가구 (가구),총가구_가구원_계 (명),총가구_가구원_남자 (명),총가구_가구원_여자 (명),총가구_가구 (가구),총가구_가구원_계 (명),총가구_가구원_남자 (명),총가구_가구원_여자 (명)
"전국",19560603,51069375,25608502,25460873,19837665,51269554,25696987,25572567,20167922,51422507,25768055,25654452,20499543,51629512,25877195,25752317
"서울특별시",3914820,9904312,4859535,5044777,3915023,9805506,4799115,5006391,3948850,9741871,4757642,4984229,3981741,9673936,4718972,4954964
"경기도",4537581,12479061,6309661,6169400,4647205,12671956,6405301,6266655,4773632,12851601,6502723,6348878,4934208,13103188,6635106,6468082
